a_log,h12,h_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-2,-0.00035,-3,0.2,0.2,,-2.48011835207023,-2.65319556462627,0.000420763146634638,0.226946280552303,0.24379653890272,0,1827.71158281318,-898.154801809188,58
-2.5,-2e-04,-5,0.2,0.2,,-2.56381218189246,-4.63741009988377,0.000619089442785472,0.219991741735215,0.24276267213293,0,1799.57560882614,-884.08681481567,12
-3,-5e-04,-3,0.2,0.2,,-2.5371571176489,-2.72500983559244,0.000382157341382406,0.227413292904571,0.244792249297927,0,1825.42307902015,-897.010549912673,51
-1.5,-5e-05,-3,0.2,0.2,,-2.46072634202975,-2.51053411521395,0.000412889325050638,0.228362303123572,0.242223448370482,0,1833.73496946049,-901.166495132843,69
-2,-0.00035,-1,0.2,0.2,,-2.7734600078873,-2.91113573978685,0.000233698062112641,0.225636640414298,0.257932667581391,0,1834.39148588891,-901.494753347053,108
-2.5,-5e-05,-1,0.2,0.2,,-2.57077377429669,-4.81882024301593,0.000627436481085044,0.219966502231398,0.24268762450433,0,1799.52069580125,-884.059358303227,117
-2,-2e-04,-2,0.2,0.2,,-2.57108985261968,-4.82077335350928,0.000627194866984183,0.219967246524242,0.242714510681675,0,1799.520680992,-884.059350898599,88
-2.5,-5e-04,-1,0.2,0.2,,-2.57091954649639,-4.81900371371676,0.000627304224663327,0.219985962636708,0.242704638071096,0,1799.52067609581,-884.059348450506,102
-1.5,1e-04,-3,0.2,0.2,,-2.46139454905423,-2.51523368934813,0.000413293457724479,0.228232447908361,0.242144777985532,0,1833.520617075,-901.059318940101,74
-3,-2e-04,-2,0.2,0.2,,-2.57095985480388,-4.81670133709501,0.000626864777427535,0.219984470745558,0.242713218995858,0,1799.52068350341,-884.059352154303,86
-1.5,-2e-04,-2,0.2,0.2,,-2.66479747589067,-2.35597412403788,0.000225820327040411,0.241577612540096,0.245960737790423,0,1848.57993044633,-908.588975625763,89
-2,1e-04,-3,0.2,0.2,,-2.4999884750132,-2.91545663496475,0.000448259141819992,0.223256736597776,0.242803253222004,0,1818.59981697595,-893.598918890573,73
-2,-5e-04,-5,0.2,0.2,,-2.57362684874547,-4.91408463279175,0.000631935696111866,0.220001810302483,0.242738592803601,0,1799.5325712204,-884.065296012797,3
-2.5,-0.00035,-4,0.2,0.2,,-2.54216499907603,-3.84487615000937,0.000550452137054794,0.220375989067372,0.242948629711488,0,1802.32680433135,-885.462412568276,32
-3,-0.00035,-1,0.2,0.2,,-2.57112069503418,-4.82009735244878,0.000626987439855081,0.219983211535064,0.242723138098325,0,1799.52068044228,-884.059350623739,106
-2.5,-5e-04,-4,0.2,0.2,,-2.54212280059549,-3.84799266107844,0.000551082236827303,0.220386519635334,0.242963872043981,0,1802.30261802892,-885.450319417059,27
-2,1e-04,-4,0.2,0.2,,-2.56200687995726,-4.37124591685761,0.000594482376038995,0.219919751797675,0.243025373414131,0,1799.92905329951,-884.263537052354,48
-2.5,-5e-05,-5,0.2,0.2,,-2.55123185515814,-4.52218404158649,0.00062226895488862,0.220166247876786,0.242779554714702,0,1799.70622742503,-884.152124115113,17
-1,-0.00035,-5,0.2,0.2,,-2.58366317269472,-5.41480281361653,0.000651855439284338,0.220099950494523,0.24272500395243,0,1799.83671787383,-884.217369339513,10
-3,-2e-04,-5,0.2,0.2,,-2.6067126944845,-18.8785664083049,0.00068252295448919,0.220345393586403,0.242689541126784,0,1801.30896490981,-884.953492857503,11
-2.5,-5e-05,-2,0.2,0.2,,-2.57083314761241,-4.81840403048447,0.000627304587020596,0.219980646915275,0.242710442166085,0,1799.52067638674,-884.05934859597,92
-2,1e-04,-1,0.2,0.2,,-2.57104750663297,-4.81266537869503,0.000628328192595668,0.219988409157634,0.242675649435644,0,1799.52096095762,-884.059490881412,123
-2,-5e-05,-5,0.2,0.2,,-2.57530707458066,-4.99824682745263,0.000636308520511823,0.220047695108472,0.242707091790129,0,1799.56029299395,-884.079156899576,18
-3,-5e-04,-1,0.2,0.2,,-2.57084718856364,-4.8147445233865,0.000626869371146266,0.220025094957374,0.242703248149999,0,1799.52074999049,-884.059385397846,101
-2,-5e-04,-1,0.2,0.2,,-2.58322600560661,-4.62098364172104,0.000596297278837651,0.220104014901242,0.243505949187449,0,1799.66550462533,-884.131762715266,103
-1.5,-0.00035,-2,0.2,0.2,,-2.57089154912947,-4.82602184055958,0.000629384602868494,0.219997922975839,0.242711070844738,0,1799.52090224934,-884.059461527271,84
-2,1e-04,-5,0.2,0.2,,-2.56710337072053,-4.67530564895226,0.000618876930467636,0.219987003131071,0.242708703926857,0,1799.55349098009,-884.075755892647,23
-3,-0.00035,-3,0.2,0.2,,-2.57088965307613,-4.81703708808825,0.000626531075165253,0.219996677577515,0.242713540672707,0,1799.52070477659,-884.059362790896,56
-2.5,-0.00035,-2,0.2,0.2,,-2.57086476845512,-4.81859190887851,0.000627163538496633,0.219996863178125,0.242710950487151,0,1799.52068248992,-884.059351647559,82
-3,1e-04,-2,0.2,0.2,,-2.57081614349327,-4.81932536700155,0.000627779246230581,0.21997671884474,0.242702021938476,0,1799.5206901481,-884.059355476648,96
-1.5,-0.00035,-1,0.2,0.2,,-2.57037229382194,-4.82259422546277,0.000628925514070812,0.219911986456253,0.242729028302145,0,1799.52092897634,-884.059474890772,109
-2.5,-5e-05,-4,0.2,0.2,,-2.53495814435026,-3.869994267625,0.000562109859884609,0.220631191886874,0.244047833004171,0,1802.17113295571,-885.384576880455,42
-2,-2e-04,-1,0.2,0.2,,-2.57005693013921,-4.81987774780216,0.000627661434061369,0.220096099606473,0.242574064308907,0,1799.52154166303,-884.059781234117,113
-2.5,-0.00035,-1,0.2,0.2,,-2.57130243014017,-4.815496177922,0.000626380914630664,0.219970333587619,0.242731124973968,0,1799.52074093083,-884.059380868017,107
-2.5,1e-04,-3,0.2,0.2,,-2.57041893551698,-4.81750731629467,0.000626642310591903,0.220017647802524,0.242691426060073,0,1799.52083648921,-884.059428647203,72
-1,-5e-05,-1,0.2,0.2,,-2.57086281330679,-4.81727504392717,0.000627180876539773,0.219978589475956,0.24270074349143,0,1799.52068124845,-884.059351026826,120
-3,-5e-05,-5,0.2,0.2,,-2.57102420278135,-4.8102968817189,0.000625607458927575,0.219989033450139,0.242590916486544,0,1799.52111490869,-884.059567856944,16
-2,-2e-04,-4,0.2,0.2,,-2.49153890173904,-3.22714298414102,0.000509340387917244,0.223505874397162,0.244332738046512,0,1810.89556356727,-889.746792186236,38
-2,-5e-05,-2,0.2,0.2,,-2.57038727579403,-4.81946195402005,0.000629126754148083,0.21995278736614,0.242597715528785,0,1799.5210983184,-884.059559561798,93
-1.5,1e-04,-2,0.2,0.2,,-2.68053465002654,-3.17953002741151,0.000331524530619991,0.234590387282122,0.250741354876016,0,1820.30427593431,-894.451148369756,99
-1.5,-5e-04,-3,0.2,0.2,,-2.46087251324254,-2.51254034375725,0.000413681352242389,0.228312875900274,0.242214856795296,0,1833.64429828175,-901.121159543476,54
-1,-2e-04,-2,0.2,0.2,,-2.55402780291604,-1.37813856033721,9.44367372609086e-05,0.241666259803942,0.248788205169735,0,1905.51595376088,-937.056987283039,90
-3,-5e-04,-4,0.2,0.2,,-2.8608667351598,-4.04492979531185,0.000305836691083553,0.213714823431449,0.24168358776725,0,1821.11566096282,-894.856840884009,26
-3,1e-04,-5,0.2,0.2,,-2.56681226263748,-4.68734316290586,0.000620362431106959,0.219917485217659,0.24271397562677,0,1799.54811963212,-884.073070218661,21
-1,-5e-04,-3,0.2,0.2,,-2.44003291939323,-2.52282278881114,0.000434970830655403,0.226433167699033,0.242621997252503,0,1833.43041531189,-901.014218058546,55
-2.5,-2e-04,-2,0.2,0.2,,-2.5705004218967,-4.80721181631763,0.000625603315995362,0.219933028424078,0.242728742536565,0,1799.5210043715,-884.059512588349,87
-1,-2e-04,-1,0.2,0.2,,-2.72622323013534,-1.78892235822507,7.98939685004296e-05,0.243781743783165,0.2472980314321,0,1882.65264655236,-925.625333678778,115
-1,1e-04,-5,0.2,0.2,,-2.42615625187028,-3.03788035092638,0.000544676130821916,0.223233947973552,0.246124815764661,0,1816.63123639897,-892.614628602082,25
-1.5,-2e-04,-5,0.2,0.2,,-2.52561901376134,-3.82038762010972,0.000566193229734438,0.221588534538324,0.243080077061513,0,1802.57428510643,-885.586152955815,14
-1,-5e-05,-3,0.2,0.2,,-2.54974364055315,-3.49837666241565,0.000492939505673148,0.223091772459895,0.239872219028853,0,1806.36900903784,-887.483514921522,70
-1.5,-5e-04,-4,0.2,0.2,,-2.5070082917615,-3.34041440873242,0.000512106666785487,0.22170962540743,0.242823195577388,0,1808.56772904697,-888.582874926087,29
-1.5,-5e-05,-4,0.2,0.2,,-2.5064106349912,-3.33625202580843,0.00051163890207856,0.221719108191975,0.242847828444137,0,1808.64407513418,-888.62104796969,44
-2,-5e-04,-4,0.2,0.2,,-2.4904866964436,-3.20772172809112,0.000506594870811076,0.223677331512743,0.243774358313899,0,1811.28366306514,-889.94084193517,28
-1,-0.00035,-1,0.2,0.2,,-2.75642470949018,-2.02600129460829,0.000109620588838269,0.233895194397666,0.239708300359921,0,1869.01045947051,-918.804240137853,110
-1,-0.00035,-2,0.2,0.2,,-2.39475965000446,-1.3435390699966,0.000199696259387826,0.243389920582566,0.242727886271891,0,1908.28347784406,-938.44074932463,85
-2,-5e-05,-3,0.2,0.2,,-2.38166422147733,-2.49623087610708,0.000485916542869913,0.228566376657204,0.245424890314052,0,1836.30397367178,-902.450997238487,68
-2.5,1e-04,-2,0.2,0.2,,-2.5702345883582,-4.81874577593434,0.000628633427136515,0.219987821152662,0.242709685084961,0,1799.52081157703,-884.059416191114,97
-1.5,-5e-04,-5,0.2,0.2,,-2.53702739920262,-3.97365094693289,0.00057448694718163,0.220952024617196,0.242988125750274,0,1801.46538664749,-885.031703726347,4
-2.5,-5e-04,-2,0.2,0.2,,-2.57114490981683,-4.81982005452662,0.000627101781336272,0.219999237740605,0.242702773284446,0,1799.52069106799,-884.059355936597,77
-2,-2e-04,-3,0.2,0.2,,-2.48066080263707,-2.66401282854075,0.000422821710624856,0.226618715265481,0.243744226712521,0,1827.27843749418,-897.938229149692,63
-1.5,-2e-04,-4,0.2,0.2,,-2.50932925679559,-3.35702024729253,0.000512490536451537,0.221610784709795,0.242703496792379,0,1808.26900967514,-888.433515240169,39
-2,-5e-05,-1,0.2,0.2,,-2.57604895303125,-4.85395874182555,0.000635132376052571,0.220149068990999,0.243596846600935,0,1799.54778473026,-884.072902767731,118
-1.5,1e-04,-5,0.2,0.2,,-2.55215766616403,-4.26272378352852,0.000594074068279503,0.220320151621081,0.242868967570997,0,1800.196887321,-884.397454063099,24
-3,-5e-05,-4,0.2,0.2,,-2.57109235322792,-4.81967756903307,0.000627100339905899,0.219983802044742,0.242711976316262,0,1799.52067669032,-884.059348747761,41
-3,1e-04,-1,0.2,0.2,,-2.56962163076099,-4.80950095617509,0.000626876898390294,0.219971635781642,0.242838447943646,0,1799.52140949089,-884.059715148045,121
-2.5,-5e-04,-3,0.2,0.2,,-2.4834120115512,-2.70663281218086,0.000427965825275028,0.226395991347816,0.243701182564372,0,1825.66081273784,-897.129416771517,52
-2,1e-04,-2,0.2,0.2,,-2.57078399895969,-4.81766191717143,0.000627649836489092,0.219973261096564,0.242702010457814,0,1799.52069161657,-884.059356210885,98
-2.5,1e-04,-1,0.2,0.2,,-2.5707987491839,-4.8165441499758,0.000627312690005859,0.219987139425209,0.24271618956025,0,1799.52068716249,-884.059353983843,122
-3,1e-04,-4,0.2,0.2,,-2.60701160594162,-12.1276097681301,0.000682694548888252,0.220325989301601,0.242712750089214,0,1801.30628614818,-884.952153476691,46
-1.5,-5e-04,-1,0.2,0.2,,-2.57121981221026,-4.84737717072858,0.000624403725615419,0.220104096699034,0.242598038902132,0,1799.52377880105,-884.060899803126,104
-2.5,-5e-04,-5,0.2,0.2,,-2.56902965415017,-4.74162274843372,0.000622645843806904,0.219977777360446,0.242719451889793,0,1799.52972983807,-884.063875321633,2
-1.5,-5e-05,-2,0.2,0.2,,-2.57158601463294,-4.83793343300606,0.000628390744101542,0.219898112397886,0.242821800013584,0,1799.52153462258,-884.059777713891,94
-3,-2e-04,-3,0.2,0.2,,-2.57071363971543,-4.81674757414338,0.000627265528900903,0.219988479837629,0.242695266140046,0,1799.52069654203,-884.059358673614,61
-1,-5e-05,-4,0.2,0.2,,-2.37857668006694,-2.67032099767288,0.00052599467889726,0.218294557360326,0.245000879938786,0,1830.8525643724,-899.725292588798,45
-2.5,-0.00035,-5,0.2,0.2,,-2.56909718697064,-4.74155961349577,0.00062255030198671,0.219978319171411,0.242705664298954,0,1799.52975258127,-884.063886693235,7
-2.5,-2e-04,-1,0.2,0.2,,-2.57107507549799,-4.81883926661007,0.000626923371460904,0.219979314253658,0.242708133870851,0,1799.52067725139,-884.059349028293,112
-2.5,-2e-04,-4,0.2,0.2,,-2.51735895244325,-3.71105799567484,0.000558300034209965,0.220756932444904,0.242997004654355,0,1803.55743532152,-886.077728063359,37
-3,-5e-04,-2,0.2,0.2,,-2.57127918378196,-4.82194849394205,0.000627228212198265,0.219989652556706,0.24272083871434,0,1799.52070208908,-884.059361447142,76
-3,-5e-04,-5,0.2,0.2,,-2.57094436589246,-4.81738622257986,0.000627121845635804,0.219963791441873,0.242693334420629,0,1799.52068986309,-884.059355334144,1
-3,-0.00035,-5,0.2,0.2,,-3.00913548145479,-4.3880134514724,0.000248195751728209,0.224746974692242,0.240559593140307,0,1833.8890462125,-901.243533508848,6
-1.5,-5e-05,-1,0.2,0.2,,-2.49893377863936,-0.135592624907431,-0.00379737399450491,0.264243897911894,0.241327416290679,0,1965.10163449516,-966.849827650179,119
-1,-0.00035,-3,0.2,0.2,,-2.54098253115059,-3.6753444591035,0.000527520583470194,0.220462841829881,0.24064388092808,0,1803.96175175818,-886.27988628169,60
-1,-2e-04,-5,0.2,0.2,,-2.43746687878569,-3.16227515549623,0.000556029788853406,0.22334300286629,0.252127367926913,0,1814.73335105264,-891.665685928918,15
-2,-5e-05,-4,0.2,0.2,,-2.42920279902557,-3.09621545441909,0.000554075613870376,0.223625625713302,0.245290410592986,0,1815.0629976164,-891.830509210797,43
-1,-2e-04,-3,0.2,0.2,,-2.57414090393515,-4.99981779285784,0.000638269378453943,0.21988030951108,0.242922206938839,0,1799.56237584043,-884.080198322814,65
-2.5,1e-04,-4,0.2,0.2,,-2.48706935549149,-4.5435415556753,0.000703670252445251,0.222202749006483,0.241226645890354,0,1801.07660735276,-884.83731407898,47
-1.5,-2e-04,-3,0.2,0.2,,-2.46042248716094,-2.50960472326463,0.000414238953680524,0.228375454023294,0.242246161172444,0,1833.77829238352,-901.188156594358,64
-1.5,-0.00035,-4,0.2,0.2,,-2.50627454165097,-3.33423130122667,0.0005113018331619,0.221761666160307,0.242851717616101,0,1808.68035299917,-888.639186902186,34
-1,-5e-04,-4,0.2,0.2,,-2.39774365707096,-2.65473788107521,0.000504090248796147,0.218636536498425,0.248172644650996,0,1830.95508357578,-899.776552190491,30
-1,1e-04,-4,0.2,0.2,,-2.39913958808859,-2.64814747638024,0.000500285789631282,0.218770600026997,0.248505198027243,0,1831.1845424479,-899.891281626548,50
-1.5,-0.00035,-3,0.2,0.2,,-2.54745210232948,-3.86041831789998,0.000546544106989253,0.219248743872002,0.242275566021531,0,1802.25734604594,-885.427683425572,59
-3,-5e-05,-1,0.2,0.2,,-2.57103146351203,-4.81624010717726,0.000626536116126559,0.219958264173347,0.242733412844057,0,1799.52071176986,-884.05936628753,116
-2,-5e-04,-3,0.2,0.2,,-2.48169574258295,-2.66515253801111,0.000422154194354202,0.226660157864596,0.243776538051129,0,1827.23380999856,-897.91591540188,53
-3,-2e-04,-4,0.2,0.2,,-2.53902309206655,-3.97460020704572,0.000570001275125554,0.220251495431251,0.242966153214455,0,1801.44758756888,-885.022804187037,36
-1,-2e-04,-4,0.2,0.2,,-2.40005975506765,-2.66686856789115,0.000504080295377849,0.218351508446535,0.248290928759125,0,1830.5063234699,-899.552172137548,40
-2.5,-0.00035,-3,0.2,0.2,,-2.47419264113399,-2.73325782433703,0.00044039335715199,0.226393624977595,0.245032003840629,0,1824.82356781562,-896.710794310408,57
-1,1e-04,-3,0.2,0.2,,-2.55256515144298,-3.56366563005942,0.000499514912426612,0.222691576084243,0.240016047885525,0,1805.46756028139,-887.032790543293,75
-3,-2e-04,-1,0.2,0.2,,-2.57064530097178,-4.81209507869802,0.000626528608629763,0.220016930496796,0.242718482521203,0,1799.52079069222,-884.059405748708,111
