a_log,h12,h_log,kr_log,sigma,sigma2,error,a_log.est,h_log.est,h12.est,kr_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,1e-04,-3,-0.5,0.2,0.2,,-0.999725687017447,-3.72310722446368,7.63921482589593e-05,2.24393590201037,0.414029495957354,0.2802406372243,0,2837.89175148516,-1400.1959500158,575
-3,-0.00035,-1,-2.375,0.2,0.2,,-2.92427645847769,-1.25650196435289,-0.0412827275119892,-2.34328706977772,0.651544311920148,0.284367712801871,0,3262.1894187603,-1612.34478365337,231
-2.5,-2e-04,-3,-1.75,0.2,0.2,,-1.61193492263724,-4.92982099881797,5.19916402037605e-05,-0.430553501133356,0.411490162968959,0.280161042705945,0,2833.56819973929,-1398.03417414287,312
-1.5,-0.00035,-3,-2.375,0.2,0.2,,-1.07735080526058,-3.6456235246729,0.000169288114232338,-0.373666951572423,0.429243826644208,0.2781524159443,0,2891.45325654655,-1426.9767025465,184
-2,-5e-04,-4,-3,0.2,0.2,,-1.73529129152374,-4.77433531428312,2.40404156161623e-05,-3.41394346384314,0.427462782626426,0.280293706421745,0,2867.67342498357,-1415.08678676501,28
-3,-0.00035,-3,-1.125,0.2,0.2,,-2.32865935921916,-4.48627433320345,-2.76376172114365e-05,2.1371198430533,0.578991968376903,0.274412003598561,0,3041.24513049909,-1501.87263952277,431
-2.5,1e-04,-1,-1.75,0.2,0.2,,,,,,,,,,,372
-2.5,-5e-05,-2,-0.5,0.2,0.2,,68.959023328016,-3.10803677806509,8.2504058133258e-05,73.4631267991877,0.431654247456312,0.280184583387475,0,2880.57288076044,-1421.53651465344,592
-1.5,-2e-04,-3,-3,0.2,0.2,,-1.51744518431311,-2.98652661122672,-6.04233960989658e-05,-2.99266766811521,0.455712938961967,0.280105265740393,0,2938.25318160047,-1450.37666507346,64
-2,-5e-05,-4,-3,0.2,0.2,,-1.99932521973487,-5.07403718322746,6.70228269251647e-06,-0.640076144416126,0.432443923069683,0.280405389839368,0,2883.98208472045,-1423.24111663345,43
-2.5,-5e-05,-1,-3,0.2,0.2,,-2.82932471678885,-1.01613095904701,-0.291903546460749,-2.76962066227204,0.639572079188944,0.280154678981389,0,3288.16744813212,-1625.33379833928,117
-2,-5e-05,-3,-1.75,0.2,0.2,,-1.00657868649407,-2.9879844095154,1.54197774116711e-05,1.66262289454006,0.424003426656503,0.280228145212015,0,2862.48539196728,-1412.49277025686,318
-3,-2e-04,-2,-1.75,0.2,0.2,,-2.99810748308073,-2.1381888964468,-0.00100894121272681,-1.92187340202179,0.682982516842036,0.287922497301787,0,3186.52483407441,-1574.51249131043,336
-2.5,1e-04,-1,-0.5,0.2,0.2,,-2.42578137993737,-1.06030728948323,-0.000717309334790803,-0.737048609766447,0.555454097213358,0.277354012240105,0,3164.01178908613,-1563.25596881629,622
-3,1e-04,-2,-0.5,0.2,0.2,,-2.9610431936493,-2.06905447519642,-0.222893771116147,-0.485728266796613,0.633786014696969,0.280232144099179,0,3279.31684095027,-1620.90849474836,596
-2.5,-5e-05,-5,-2.375,0.2,0.2,,-1.44104519077333,-4.27120359958891,4.5865620018266e-05,0.711097116223248,0.406991967981825,0.280057908131985,0,2820.08901094483,-1391.29457974564,142
-3,-2e-04,-1,-3,0.2,0.2,,-3.03676716815527,-1.06678624001778,-0.0471596694546991,-3.01466480635574,0.6238170350831,0.279478724162621,0,3257.61714408331,-1610.05864631488,111
-2.5,-5e-04,-3,-3,0.2,0.2,,-2.43316201006172,-3.07263712240614,-0.000105888480264071,-2.8490645949095,0.480022538283117,0.286672564635966,0,3040.82486344879,-1501.66250599762,52
-1,-2e-04,-5,-3,0.2,0.2,,-0.971170940611841,-6.46137250392009,0.000375846738042806,2.7255633140038,0.500717237240969,0.290534551279323,0,2949.10579808382,-1455.80297331513,15
-1,-0.00035,-3,-0.5,0.2,0.2,,-1.46802293843123,-4.172644442313,3.48874329537461e-05,0.385663060256253,0.404879340799193,0.283458478531623,0,2821.36533185086,-1391.93274019865,560
-1,1e-04,-3,-3,0.2,0.2,,-1.00718428111462,-3.72853597341951,7.58016513314823e-05,2.22180401328134,0.414013040601177,0.280188534515692,0,2837.53284182141,-1400.01649518393,75
-3,-5e-04,-1,-0.5,0.2,0.2,,-2.46307338499275,-1.42478734733648,-0.19449009128583,-0.371679715124071,0.637212931727031,0.280242899938596,0,3282.34060715343,-1622.42037784993,601
-3,-0.00035,-5,-1.125,0.2,0.2,,-1.62791853919443,-4.77230127739541,4.11784485701577e-05,-0.743242562539799,0.40483593264771,0.279108174614681,0,2836.75518933909,-1399.62766894277,381
-2,-5e-05,-4,-1.125,0.2,0.2,,-1.43735625708972,-4.24322415032099,4.42276616662669e-05,0.707615423820806,0.407313893315512,0.280530413561403,0,2820.07566040712,-1391.28790447678,418
-2,-5e-04,-2,-2.375,0.2,0.2,,-1.68967286181849,-4.78897737293532,3.08060529301968e-05,-1.6942624500351,0.417102035305617,0.27995008694227,0,2851.8053745752,-1407.15276156082,203
-3,-5e-05,-3,-1.125,0.2,0.2,,-1.6662342335142,-24.8190727495823,0.000133283251327775,0.964667770045352,0.43855278928695,0.281074291631404,0,2883.81187361664,-1423.15601108154,441
-2.5,-2e-04,-1,-0.5,0.2,0.2,,-2.45187275078194,-1.03523960081358,-0.000735817311293086,-0.798161957658934,0.548611718533766,0.28245663051578,0,3167.91333126566,-1565.20673990605,612
-1.5,-5e-05,-2,-1.75,0.2,0.2,,1.38815900647438,-1.95697464514626,1.52197220413785e-05,4.56782751966585,0.462494048659668,0.280272115374608,0,2952.92002035053,-1457.71008444849,344
-1.5,1e-04,-5,-2.375,0.2,0.2,,-1.49888420596656,-4.33645561566827,3.75915915831894e-05,0.536861791712002,0.4070476921502,0.280285864559497,0,2820.75950566606,-1391.62982710625,149
-2,-0.00035,-1,-2.375,0.2,0.2,,-1.6385204809424,-0.905419713466181,-0.00189644755212243,-2.09986539402404,0.557935221188155,0.280355032267192,0,3146.40729758994,-1554.45372306819,233
-3,1e-04,-3,-2.375,0.2,0.2,,-3.22420327853189,-2.84290645257242,-0.30982147197914,-2.07147118029761,0.627526308225005,0.279039622010746,0,3278.372192675,-1620.43617061072,196
-1,-5e-04,-5,-1.125,0.2,0.2,,-1.59280065571555,-4.38569635089912,2.65402187434015e-05,-0.864012967622202,0.413960111753025,0.281072589000045,0,2836.87299956584,-1399.68657405614,380
-2,1e-04,-4,-2.375,0.2,0.2,,-1.43849055261138,-4.24644696962905,4.44405216417889e-05,0.708923518442362,0.406766723241567,0.2801711092756,0,2820.07407000477,-1391.28710927561,173
-2.5,-5e-04,-2,-1.125,0.2,0.2,,-2.77172096947349,-1.85625249266799,-0.235962760550213,-0.974430039269936,0.634518514724169,0.279922100778059,0,3279.09818893964,-1620.79916874304,452
-1.5,-5e-04,-1,-0.5,0.2,0.2,,-1.573312735569,-1.59515269180483,-0.000946120888122576,-0.525111576613261,0.535915484170694,0.280234746187499,0,3106.28127351971,-1534.39071103308,604
-3,-5e-04,-3,-1.125,0.2,0.2,,-3.01010897829081,-2.57515988112289,-0.177407292432619,-1.49057175215184,0.634245088092271,0.280407686103889,0,3281.47036036582,-1621.98525445613,426
-2,-2e-04,-2,-2.375,0.2,0.2,,-1.43806468708366,-4.24549805620716,4.45708127048919e-05,0.701031627017247,0.406881298451725,0.280278881658495,0,2820.07317067645,-1391.28665961144,213
-2,-2e-04,-5,-3,0.2,0.2,,-1.73151433457138,-4.6528355324187,1.91437768322461e-05,-3.73971458641889,0.427063100507792,0.280116579519688,0,2868.85542927835,-1415.67778891239,13
-1,-5e-04,-3,-1.75,0.2,0.2,,-1.44436651434103,-3.74692714906972,1.18104458567796e-05,0.0300146789704737,0.395027712236876,0.28616542557356,0,2835.00024127744,-1398.75019491194,305
-1,-2e-04,-1,-1.75,0.2,0.2,,,,,,,,,,,365
-2,-2e-04,-5,-1.75,0.2,0.2,,-1.71941371450294,-5.35722896987956,5.20820733700613e-05,-1.85062640581366,0.42507935317721,0.282106800808595,0,2860.1075981761,-1411.30387336127,263
-2.5,-0.00035,-2,-1.125,0.2,0.2,,-0.987611035002305,-3.50029338443183,5.48915573661543e-05,2.2083632489538,0.420456239958923,0.28066375755095,0,2840.6368912517,-1401.56851989907,457
-2,-5e-04,-3,-1.125,0.2,0.2,,-2.21392960432175,-3.75613776232722,-4.95298916612999e-05,-3.48624015792689,0.466561148044749,0.273677629439106,0,2963.20625771386,-1462.85320313015,428
-2.5,-2e-04,-5,-2.375,0.2,0.2,,-1.73758452835785,-5.30535934350918,4.64374326584964e-05,-2.25123641844328,0.422412938241069,0.279746871237523,0,2863.9203198894,-1413.21023421792,137
-1,-5e-04,-4,-1.125,0.2,0.2,,-1.32741189913059,-4.02247379950238,4.81215546014167e-05,1.20213248751027,0.410299390712377,0.280307013553036,0,2822.51478068014,-1392.50746461329,405
-1.5,-2e-04,-3,-1.75,0.2,0.2,,-1.46703350350512,-3.02348400224374,-4.9268874156942e-05,-1.77718468194035,0.446907730019604,0.280064001580481,0,2917.83055906357,-1440.16535380501,314
-1,-2e-04,-2,-0.5,0.2,0.2,,-1.43876832968374,-4.24756156846208,4.43166713755863e-05,0.698051770793362,0.406772148155215,0.280217344010131,0,2820.07316649825,-1391.28665752234,590
-3,-0.00035,-5,-0.5,0.2,0.2,,-1.80375447216587,-5.47773417710276,4.32322917760527e-05,-1.68350586583153,0.682562895638899,0.301861807176253,0,3043.7462691236,-1503.12320883502,506
-3,-0.00035,-3,-0.5,0.2,0.2,,-2.92447090012912,-3.43193063082874,-0.21984735386256,-0.303046828048903,0.633286594988267,0.279791529219786,0,3277.52362585545,-1620.01188720095,556
-1,-0.00035,-1,-2.375,0.2,0.2,,-1.08360985137734,-1.03623071205228,-0.291479938656726,-2.30602395499648,0.640495041147957,0.27886399813229,0,3288.89331006654,-1625.69672930649,235
-2,1e-04,-4,-1.75,0.2,0.2,,-1.43709674175284,-4.2200131777114,4.2318854497834e-05,0.710126702240572,0.406000001499614,0.279059966981668,0,2820.11633637085,-1391.30824245865,298
-2,1e-04,-1,-1.125,0.2,0.2,,-1.23034453209,-2.91353495887984,7.82357523353334e-07,-1.62480508666859,0.459675102212064,0.292197700013186,0,2948.16372854835,-1455.3319385474,498
-2,-5e-05,-4,-0.5,0.2,0.2,,-1.43815753036027,-4.24822023047939,4.46055004516106e-05,0.703918793965505,0.406826906102833,0.280237994819805,0,2820.0731104822,-1391.28662951432,543
-2,-0.00035,-1,-1.75,0.2,0.2,,-1.32890333284606,-3.94060156517369,5.57051577606563e-05,0.446360737639951,0.405179370206311,0.280088978320758,0,2826.39651093809,-1394.44832974227,358
-1,-5e-04,-1,-2.375,0.2,0.2,,-1.07472423849234,-0.995920334176872,-0.306227737680296,-2.30945872520734,0.641485208361525,0.278484158997264,0,3287.74127444559,-1625.12071149602,230
-3,-2e-04,-1,-1.125,0.2,0.2,,-2.96779239839597,-1.09520526938921,-0.0448827563666567,-1.14442617260127,0.635946368623188,0.275221399370858,0,3257.93013750032,-1610.21514302338,486
-3,-5e-04,-4,-2.375,0.2,0.2,,-1.35327186055616,-3.94921146463745,3.7073685506508e-05,1.1046737427459,0.412122961390352,0.27932334077917,0,2822.67493764831,-1392.58754309738,151
-2,-0.00035,-5,-0.5,0.2,0.2,,-1.62744860477135,-4.73983912911849,4.00267224045926e-05,-1.01139850467285,0.416433237751945,0.279216262133657,0,2840.31922568243,-1401.40968711444,508
-1,-5e-05,-1,-1.125,0.2,0.2,,,,,,,,,,,495
-1.5,-0.00035,-3,-1.125,0.2,0.2,,-1.52990472988138,-4.47551002857881,4.51550895917822e-05,-0.493277251677232,0.410771797920797,0.283080149174427,0,2831.05797403994,-1396.77906129319,434
-2.5,-2e-04,-5,-1.125,0.2,0.2,,-1.67934296621789,-4.89551127044132,3.81915625086975e-05,-1.55041844361111,0.418360592304021,0.279976548623173,0,2850.3505411347,-1406.42534484057,387
-2,-0.00035,-4,-1.125,0.2,0.2,,-2.10712099397021,-4.06816124758934,-3.11416095930178e-05,-1.91358277212466,0.443334788321828,0.261930835513819,0,2930.83032510115,-1446.6652368238,408
-1.5,-5e-04,-4,-3,0.2,0.2,,-1.59703135537887,-4.02248700300295,6.76267791676901e-06,-2.55256101611561,0.426591911870038,0.271796073903228,0,2871.90709770965,-1417.20362312805,29
-3,-5e-04,-1,-2.375,0.2,0.2,,,,,,,,,,,226
-2,-5e-05,-1,-3,0.2,0.2,,-2.08157678993901,-0.944501498370451,-0.311007009504807,-2.91619089510743,0.642711113712901,0.280204602586248,0,3294.77594229448,-1628.63804542046,118
-1.5,-0.00035,-5,-1.125,0.2,0.2,,-1.56738864300548,-5.30525155899573,8.46921064502952e-05,-0.0521104468699967,0.414411494500505,0.276627725539602,0,2836.35888109211,-1399.42951481928,384
-3,-5e-04,-3,-2.375,0.2,0.2,,-3.17696193360181,-2.7471040200494,-0.18376054991612,-2.59055238106857,0.636296648536486,0.280162637746146,0,3282.7872303585,-1622.64368945247,176
-1.5,1e-04,-1,-1.75,0.2,0.2,,,,,,,,,,,374
-2,-2e-04,-2,-3,0.2,0.2,,-1.72847180414559,-4.66639595680983,2.05446616351366e-05,-3.28485889608654,0.424696988495713,0.280090104965904,0,2866.88783294822,-1414.69399074733,88
-2.5,-2e-04,-4,-1.125,0.2,0.2,,-1.55008189968615,-4.57789640249719,5.81783955944564e-05,-0.0267659144929439,0.422653503603526,0.276330119417575,0,2826.84152554578,-1394.67083704611,412
-3,-0.00035,-4,-0.5,0.2,0.2,,-1.39095334173811,-3.67003142298055,1.76433981233035e-05,0.136698633171521,0.418074132077023,0.277048519286589,0,2834.37439635849,-1398.43727245247,531
-3,-5e-04,-1,-1.75,0.2,0.2,,-3.05613274677552,-1.0920980114293,-0.0476142964995939,-1.85800034063467,0.670849247742326,0.289738823553942,0,3263.77382828571,-1613.13698841608,351
-3,-2e-04,-3,-3,0.2,0.2,,-2.87033251464564,-2.93246171736716,-0.000140132470800849,-3.2347838095286,0.56818035420306,0.28230754219122,0,3117.14285116778,-1539.82149985711,61
-2.5,-0.00035,-5,-1.125,0.2,0.2,,-1.62598309893362,-6.11769333544775,0.000104285558526626,0.0948428635684697,0.422704665021091,0.281000736166917,0,2850.90381159009,-1406.70198006827,382
-2.5,-5e-04,-2,-0.5,0.2,0.2,,-2.67105560795494,-1.84588673623033,-0.168165325501213,-0.471737654312206,0.634637224915097,0.28007776913064,0,3281.12567608259,-1621.81291231451,577
-2.5,-5e-05,-2,-2.375,0.2,0.2,,-1.71154970761526,-1.99468023500038,-0.000257959335575064,-3.66861668196006,0.507753186400346,0.280553359330998,0,3047.45477262377,-1504.9774605851,217
-1.5,-5e-04,-1,-3,0.2,0.2,,-1.31072355848448,-0.847424670351299,-0.355191477417677,-2.94373028492199,0.660040683835746,0.283088673785388,0,3288.51989929427,-1625.51002392036,104
-3,-5e-05,-5,-3,0.2,0.2,,-1.64481572818777,-6.20737818975801,9.91490209078062e-05,0.54226330370855,0.420883173363768,0.283261799308483,0,2854.11170344651,-1408.30592599648,16
-2.5,-5e-05,-4,-1.75,0.2,0.2,,-1.43811780859912,-4.24787226898707,4.45171402168164e-05,0.701745416015992,0.406932495631853,0.28035935425402,0,2820.07314255965,-1391.28664555305,292
-3,-5e-05,-1,-3,0.2,0.2,,-3.14743086592223,-0.939131896397775,-0.0529412513346663,-3.03975660312856,0.619302979102135,0.272694541277095,0,3256.64121290292,-1609.57068072468,116
-1.5,-2e-04,-5,-0.5,0.2,0.2,,-1.65413642573125,-6.02426775580234,9.44268011323953e-05,-0.562743073269623,0.426118428529801,0.286943293499044,0,2854.526244035,-1408.51319629072,514
-2,-2e-04,-5,-1.125,0.2,0.2,,-1.84366427270729,-7.73960599361423,8.2099428251075e-05,-2.77204301773905,0.440311854518829,0.278302805987676,0,2893.93855816278,-1428.21935335461,388
-1.5,-0.00035,-1,-2.375,0.2,0.2,,,,,,,,,,,234
-1.5,-5e-04,-5,-0.5,0.2,0.2,,-1.57068730406236,-4.55379199640263,3.85595562631034e-05,0.00312666628519284,0.406575430877569,0.281114871382156,0,2825.06588442339,-1393.78301648492,504
-2.5,-5e-04,-4,-2.375,0.2,0.2,,-1.50071546758784,-3.73547719329633,4.95534443804242e-06,-1.80517727224246,0.465302868741769,0.272844795985984,0,2880.28771127304,-1421.39392990974,152
-1,-5e-05,-5,-0.5,0.2,0.2,,-1.45114352992191,-5.19297693855925,0.000107272999494996,0.929894414634227,0.414644223503115,0.283769906230223,0,2835.65805291307,-1399.07910072976,520
-2,-2e-04,-4,-1.75,0.2,0.2,,-1.53033698729836,-4.64510716157105,5.18229520419781e-05,0.333297441826095,0.406617446198941,0.280591687999058,0,2823.32824489561,-1392.91419672103,288
-2,1e-04,-3,-1.75,0.2,0.2,,-1.01046145297153,-3.03043315445865,1.7427147964699e-05,1.71454641105699,0.423063365142341,0.280266336318103,0,2859.61076649501,-1411.05545752073,323
-2.5,-0.00035,-5,-0.5,0.2,0.2,,-1.5782876278297,-6.24926942255866,0.000106200576414408,1.88705906391851,0.46344035113153,0.280387947096409,0,2884.10430449605,-1423.30222652125,507
-2,-2e-04,-3,-2.375,0.2,0.2,,-1.73875644757633,-4.69371456105086,1.98444401609649e-05,-3.09812220886642,0.426645000287404,0.279752437539923,0,2865.9726121327,-1414.23638033957,188
-1.5,1e-04,-3,-1.75,0.2,0.2,,-1.00619114203619,-2.9988981928774,1.60126762046543e-05,1.68208620628966,0.423621418719366,0.280202205790816,0,2861.72876972972,-1412.11445913808,324
-2,-5e-05,-3,-2.375,0.2,0.2,,-1.00758170664317,-3.00106797599931,1.58868240846439e-05,1.68172169716728,0.423606470442794,0.280222683325206,0,2861.57991910346,-1412.04003382495,193
-1,-2e-04,-4,-2.375,0.2,0.2,,-1.75694976424689,-5.37466707298391,4.6185546433825e-05,-9.10777833870335,0.432978800047083,0.278408560999326,0,2877.44036341326,-1419.97025597985,165
-2.5,-0.00035,-4,-0.5,0.2,0.2,,-1.80807853648883,-3.26255826021034,-6.20486924096651e-05,-3.96601855579308,0.452813210834022,0.282218967425325,0,2925.15877252073,-1443.82946053358,532
-1,-5e-05,-2,-1.125,0.2,0.2,,-1.74421561821864,-4.68050831557071,1.8837814852965e-05,-6.40298085074415,0.427816255014899,0.280469957698284,0,2872.25174178502,-1417.37594516573,470
-1.5,-5e-05,-2,-1.125,0.2,0.2,,103.824612001342,-3.10949633899466,8.2505900835128e-05,108.330023157637,0.431593164578718,0.28015516756183,0,2880.57294268761,-1421.53654561703,469
-1,-5e-05,-5,-3,0.2,0.2,,-0.912060302179787,-6.17343712884404,0.000365470908136024,2.94014165032256,0.509270636341649,0.27940985977544,0,2950.05992392711,-1456.28003623677,20
-2,-0.00035,-2,-1.75,0.2,0.2,,-1.7465520208433,-2.11185222783319,-0.000228926770181051,-2.40592020023151,0.486893011744076,0.274914025463154,0,3030.07366057252,-1496.28690455948,333
